,City,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
133,san jose del guaviare,0.7539822582587874,76.12,79,99,2.84
134,yellowknife,76.72489682237065,54.34,48,92,2.24
135,hamilton,31.6403151768575,80.13,74,27,8.43
136,bac lieu,5.923961302060647,82.76,81,100,13.87
137,san kamphaeng,18.625668874976853,77.31,95,22,1.52
138,wailua homesteads,36.03020956846477,72.0,80,100,11.32
139,makurazaki,30.801449680248396,83.23,82,10,14.16
140,rio grande,-35.797442325201025,57.24,73,100,29.8
141,valparaiso,-32.09656346571384,58.01,86,100,17.29
142,vernon,46.77863232117306,60.62,74,1,7.94
143,mangai,-3.757695714568186,86.54,36,96,1.63
144,toga village,-5.561055404691118,83.98,78,100,14.43
145,tofol,6.935534450414508,83.19,77,92,11.72
146,castillos,-37.47814270071381,56.64,65,100,27.36
147,gemena,2.6764985697207493,70.63,98,77,2.35
148,ivdel',61.85839366411594,56.61,92,82,3.8
149,saldanha,-33.11765210353834,59.18,74,1,17.96
150,santa marta,13.691843200219537,81.54,86,58,23.0
151,gornozavodsk,46.28171829037561,65.32,99,100,11.34
152,lycksele,64.31861007988135,57.04,89,100,3.53
153,taounate,34.415861894680646,86.47,30,0,15.61
154,al jubayl,27.47110998769641,91.38,67,12,10.29
155,qaqortoq,64.10689813229223,39.54,96,100,12.71
156,aasiaat,76.97932978944661,29.19,83,96,13.89
157,garoowe,8.1071736677942,75.24,62,5,28.61
158,as saffaniyah,28.17481196619846,94.41,53,14,7.43
159,cabo san lucas,10.220790288426628,82.56,78,59,13.33
160,axim,-1.0001962002797598,73.83,79,4,16.08
161,panjakent,39.543476143579994,70.9,37,3,5.66
162,namtsy,63.57316365425493,52.95,74,23,6.69
163,raduzhny,62.20415809846054,62.08,90,70,4.16
164,dem'yanovo,60.23047573367006,53.56,93,8,2.68
165,andalusia,31.473525148495895,91.15,28,0,2.13
166,peranamallur,12.493786780778038,79.7,66,100,6.78
167,naze,27.203614116737512,83.05,81,96,15.5
168,kone,-19.510085915922218,72.36,70,100,23.53
169,cockburn town,24.957532515573646,84.42,71,100,11.59
170,khash,28.16800156707204,82.04,47,100,8.81
171,lata,-8.705423475510088,84.25,77,51,10.96
172,edinburgh of the seven seas,-41.55684782526995,45.05,58,100,24.7
173,timaru,-43.522749074156515,26.11,71,5,10.27
174,adjumani,2.974708488078221,69.08,69,93,1.43
175,happy valley-goose bay,55.28288147047752,50.86,76,7,5.48
176,urengoy,64.0886946743235,65.12,89,8,6.49
177,muisne,1.1122695064678396,78.1,80,100,14.52
178,shilka,52.28508415777742,62.53,70,73,1.19
179,minas,21.9753125342133,85.96,68,100,13.82
180,mount isa,-20.12096294583003,57.94,92,1,15.79
181,fontenay-le-comte,46.43804948637154,67.89,54,48,13.13
182,blantyre,-15.720214465622846,64.76,47,0,5.32
183,riohacha,12.315286064466733,79.83,89,100,26.49
184,an nuhud,13.53178501159718,94.19,32,92,16.75
185,mont-dore,-23.17996652834188,68.16,57,16,22.19
186,crucecita,15.154960764498597,85.19,71,81,10.07
187,klungkung,-8.61794145386105,77.09,86,94,11.32
188,miandrarivo,-19.596997045091456,55.9,59,4,6.02
189,cumaribo,3.937655590259695,77.05,94,94,4.36
190,pisco,-18.88727563217833,67.6,75,100,22.59
191,ta`u,-15.042561367693239,77.52,67,12,8.37
192,bubaque,10.040818943455577,79.95,84,100,14.88
193,napanee,44.64701447689342,81.09,38,100,7.34
194,saipan,19.18756212378416,82.85,77,14,7.25
195,togur,58.38252904012094,58.89,93,19,3.89
196,macau,19.829068380837953,83.89,74,100,10.13
197,tongchuanshi,35.13004085590185,69.96,72,100,5.55
198,arraial do cabo,-25.591131221770496,72.5,77,31,14.63
199,balkanabat,41.19924955430122,97.63,22,100,10.33
200,rawalpindi,33.4804492986751,82.56,77,29,4.05
201,soderkoping,58.42278069495592,66.29,58,64,8.12
202,kerikeri,-31.266357888465734,61.14,66,30,28.66
203,maceio,-15.407767972260146,74.77,77,4,22.66
204,baruun-urt,47.37294940927998,62.94,64,41,3.94
205,fada,19.593764342118405,89.31,12,4,6.64
206,isafjordur,70.26155265893317,27.99,97,100,2.84
207,dryden,51.44329191826381,81.05,28,98,7.7
208,zhezqazghan,47.47308409736448,83.93,22,13,16.08
209,ebon,3.2282979428918424,83.03,71,82,3.38
210,selkirk,52.83345168976609,87.22,24,1,5.61
211,avarua,-30.378236513100234,63.03,84,100,12.35
212,masterton,-41.327554367008574,51.93,66,100,38.54
213,ouellah,-11.084703090316381,78.08,74,67,12.97
214,bol,13.935329544310008,90.99,39,99,3.71
215,nova sintra,5.708809134704367,81.18,76,100,15.95
216,abu zabad,13.019362417710099,87.24,48,100,8.41
217,la passe,2.2138061760309853,82.17,76,29,8.34
218,kayangel,12.46920439322632,82.81,77,100,13.6
219,flat rock,41.97013844563239,90.05,57,0,0.0
220,bagaha,24.572156996204228,86.13,63,100,8.86
221,monte azul,-15.13201406844388,87.15,15,3,4.27
222,klyuchi,57.31282756589974,52.25,87,5,3.4
223,polyarnyy,78.21572686667682,40.1,84,43,6.82
224,fuyu,47.48324479501605,66.47,94,8,2.95
225,culebra,18.56077785995511,89.69,80,16,21.45
226,egilsstadir,63.10239781166683,52.97,89,68,10.42
227,st. john's,45.05646705807621,59.16,96,100,16.15
228,shatki,55.16714486244837,61.02,96,99,5.23
229,brookings,41.842666822342665,64.08,72,6,5.86
230,kapuskasing,61.063756107765414,40.23,97,100,14.74
231,busembatia,0.8966696927139992,70.88,64,97,4.79
232,puerto lempira,17.000950885506555,83.28,78,4,13.33
233,cidreira,-35.34652922882409,56.44,71,95,23.02
234,genoa,44.30648106484708,79.12,65,0,18.41
235,kapa'a,34.443441801472105,71.58,70,8,11.3
236,chibougamau,54.99797283354371,70.57,41,54,17.2
237,hithadhoo,-5.550887460691428,80.28,73,100,17.45
238,wanning,15.684546399342196,84.04,74,100,6.87
239,saint-pierre,43.47934977573658,69.46,82,50,9.15
240,okha,55.92498360245972,53.04,94,100,12.55
241,miri,5.0977501527165,83.57,77,100,14.43
242,dadonghai,16.382704987510323,84.38,74,23,5.57
243,smithers,57.794311225698664,57.4,36,34,7.96
244,beinamar,7.7791666169653695,72.41,90,25,3.24
245,as sulayyil,20.164276846004427,99.5,8,100,9.04
246,georgetown,-11.254058562069304,72.05,71,17,17.02
247,klintsy,52.76867422001098,68.23,78,17,6.33
248,rzhyshchiv,50.01250614567368,72.16,57,86,7.4
249,bengkulu,-6.9581070034406025,81.03,71,100,17.13
250,crane,23.161109439534684,80.71,74,1,17.18
251,mount gambier,-43.241274686474775,51.82,91,95,25.17
252,vadso,73.26377801284892,46.54,83,81,11.9
253,i-n-salah,28.475157892671476,101.61,6,0,8.55
254,salinas,-1.657425079641314,73.98,84,5,15.82
255,hovd,44.78257055248386,52.66,45,3,7.43
256,micheweni,-5.0852269862444786,77.07,80,7,20.22
257,gudur,14.157100737193673,78.69,76,100,18.34
258,saint-philippe,-32.45167906163924,61.32,81,100,18.72
259,al bardiyah,30.81770088846538,86.81,38,0,13.53
260,siguiri,11.34612342520353,80.19,72,100,7.23
261,abu jibeha,11.939103316781285,78.91,73,96,0.49
262,palmer,57.89560189277739,55.18,92,1,11.88
263,alice springs,-23.677823726496115,51.78,50,0,13.44
264,la'ie,38.78554183348331,67.33,80,23,4.21
265,jutai,-4.5758723679368245,95.76,33,65,2.86
266,east london,-41.71546880175256,56.19,89,17,24.49
267,marechal candido rondon,-24.748247082258956,80.85,39,10,8.46
268,visakhapatnam,16.26717785420722,80.46,93,100,39.55
269,khanty-mansiysk,61.08985412960297,62.8,96,94,3.33
270,winterberg,51.25495561121349,57.83,84,100,5.1
271,abu al matamir,30.926158728186323,80.94,74,0,9.33
272,auki,-8.508309067121559,82.71,78,88,15.26
273,strelka,57.311431492830366,59.05,98,98,4.41
274,kristiansund,63.458802475640766,59.65,90,100,18.72
275,south hedland,-20.793539859576157,53.92,30,1,7.47
276,afaahiti,-18.232793057413716,78.85,85,2,14.12
277,dunedin,-45.89789970692872,43.0,75,96,29.21
278,yugorsk,61.29598643067769,59.5,88,99,4.59
279,mantta,62.15796203229243,64.74,84,50,5.01
280,anadyr,58.24720873963534,47.32,96,100,16.06
281,el nido,11.744993765551186,83.01,81,100,23.78
282,nizhnyaya tavda,57.38296519877079,64.74,90,0,4.41
283,kapoeta,5.629531297428173,80.35,63,100,7.9
284,emporia,38.57616690118718,104.59,10,98,17.78
285,bestobe,52.66146883928198,70.52,40,3,2.62
286,impfondo,1.7636366508052959,74.5,87,100,3.2
287,kralendijk,14.629501835716994,82.36,83,46,19.37
288,qapqal,43.73902802214167,77.7,24,78,4.09
289,bargara,-25.090166456298803,58.21,68,89,9.86
290,manokwari,2.692890673377505,82.22,76,100,5.3
291,arkhara,49.27471681642217,61.38,95,98,2.33
292,ahau,-13.66600017840885,80.31,79,100,18.92
293,hammerfest,74.66305101918022,45.19,85,98,10.51
294,kalmunai,6.470285331225142,81.75,85,100,22.73
295,singarayakonda,15.224853663867506,77.61,92,100,29.26
296,plastun,45.569766396874826,61.2,97,5,3.47
297,vung tau,9.27967622991325,81.57,87,91,16.22
298,campoverde,-7.936564751491218,99.03,29,29,1.74
299,novyy urengoy,69.26027629131957,55.4,65,59,10.47
300,nabire,-4.455587857195653,72.16,98,99,1.36
301,alto barinas,7.715551537590983,85.35,73,90,4.45
302,belmonte,-17.161131867103478,73.99,73,3,19.73
303,luderitz,-25.888595483555292,55.51,88,13,7.94
304,saryozek,44.4443412101798,69.48,24,0,3.18
305,susuman,67.548929152759,54.82,72,96,2.06
306,atafu village,-0.59957097703969,84.07,70,87,14.72
307,el colomo,18.954066865795326,87.91,62,43,8.41
308,aykhal,66.90453389705814,56.93,80,100,3.44
309,pont rouge,52.227951436831574,65.23,53,100,7.78
310,alesund,64.22565481268455,56.37,94,37,21.7
311,torbat-e jam,34.97506403085812,77.68,14,0,16.08
312,sao joao do piaui,-8.91466712175854,89.1,25,59,9.91
313,iskateley,78.86383593442801,35.13,91,100,7.9
314,bagneres-de-bigorre,42.7017224461994,46.87,87,100,8.43
315,ancud,-43.02661399149368,50.47,95,100,28.77
316,derbent,43.27992965200818,75.83,79,100,11.86
317,fort bragg,38.150634104160474,62.19,95,0,12.39
318,santa terezinha,-9.443041367567119,92.53,22,16,3.87
319,laguna,-35.3927473536427,55.49,72,100,18.37
320,fale old settlement,0.8229215960720921,82.58,69,100,16.37
321,laojunmiao,41.497085782706876,69.8,18,0,6.8
322,bontang,0.6390728954329177,73.53,99,99,0.78
323,eirunepe,-6.925845776192858,97.12,28,9,1.79
324,uaua,-9.44761294248859,87.6,29,79,12.17
325,pemba,-13.522594267141415,76.71,78,3,25.55
326,goiatuba,-17.91384718728851,76.59,38,100,7.25
327,kloulklubed,7.6442461880545665,82.42,72,100,9.89
328,santa barbara,27.12759232776297,88.92,20,54,15.75
329,strezhevoy,59.643851080302824,63.45,78,100,2.51
330,fuvahmulah,-4.700676082434498,81.97,78,100,22.55
331,turpan,38.88256968819093,52.47,36,74,1.52
332,bardai,22.2517611182423,84.7,16,5,8.72
333,kolonia town,10.74782668741409,83.52,77,100,12.62
334,balakhta,55.68379868258094,54.14,95,34,3.2
335,langepas,60.397851577676846,60.35,94,69,2.77
336,arauca,7.068697371979809,86.4,66,48,5.19
337,new milford,41.63794526973177,86.14,62,100,9.1
338,tonj,7.443298214023756,72.59,90,98,5.93
339,nenjiang,49.535914716340386,61.38,88,59,3.47
340,morehead city,33.524123321311876,83.71,65,88,4.59
341,guymon,36.88506552606685,97.21,34,0,9.22
342,tambacounda,13.854306546673044,86.07,69,65,4.41
343,clarksburg,39.099015816879245,84.22,68,0,7.7
344,huazhou,33.12290550403351,73.44,95,95,2.48
345,camocim,-0.617139607649591,79.41,83,6,19.66
346,tamanrasset,22.772321198330033,102.97,10,51,14.81
347,sofifi,-0.0009736367834989323,81.84,73,53,16.84
348,tocopilla,-21.917606212222097,61.36,79,1,19.46
349,palora,-1.8047716541051955,90.25,40,2,3.42
350,novoul'yanovsk,54.106742241635686,62.96,87,100,7.47
351,ixtapa,3.9092095115122447,80.74,79,25,9.8
352,nikolayevsk-on-amure,53.74634254978787,63.75,81,82,1.57
353,kharagpur,22.12923101484121,81.86,86,97,10.76
354,ihosy,-22.666011956500824,60.06,91,60,7.02
355,katsuura,33.614162318935115,78.37,76,7,1.54
356,naracoorte,-36.1702184319428,43.32,91,0,6.26
357,tralee,52.36595632441657,60.69,96,100,19.69
358,gubkinskiy,64.99998160887432,67.69,72,100,8.86
359,durango,37.22333585988696,89.49,14,40,5.75
360,yangor,0.4955358708009783,83.71,76,87,10.96
361,nankana sahib,31.249091224823275,80.13,83,98,5.28
362,kikwit,-5.008521409259245,88.74,27,95,2.3
363,aldinga beach,-35.21670603987066,50.34,76,0,12.59
364,charters towers,-21.897131550643138,61.5,81,24,23.49
365,fisterra,42.674191032192795,67.03,75,27,7.29
366,kirensk,59.058744880124806,59.65,95,33,1.12
367,kafin hausa,12.314864628633103,90.05,43,26,6.78
368,karatuzskoye,53.65812702859762,56.55,93,22,1.1
369,xifeng,42.55233023446439,70.5,94,100,4.05
370,quellon,-47.04780174100071,42.01,61,24,9.78
371,ranohira,-23.47314288050039,56.97,83,12,7.65
372,santiago de cao,-9.179527449250642,70.25,76,97,20.78
373,vilyuysk,70.61154178458494,51.28,61,0,3.2
374,nadym,70.93792977132108,54.82,63,57,8.79
375,bamboo flat,13.457187279270784,83.17,77,100,15.86
376,muswellbrook,-32.268146802447085,44.47,98,17,1.19
377,kilindoni,-8.537621635902227,77.9,78,100,25.61
378,pouso alegre,-22.232601227782936,73.71,41,65,1.5
379,sabang,7.9576937676855835,82.69,80,100,19.22
380,palikir - national government center,1.856974173686993,82.69,71,100,5.75
381,guerrero negro,22.6638259393998,71.06,85,0,7.99
382,rikaze,31.38159996168578,44.46,67,100,3.53
383,hihifo,-16.84749614656323,75.58,68,83,13.78
384,twon-brass,4.187638573283678,79.03,84,49,9.82
385,alappuzha,9.218278009297407,81.18,81,100,11.36
386,gobernador virasora,-28.27331507886459,69.12,68,100,1.92
387,usinsk,70.1213679167428,45.32,99,99,5.91
388,williston,44.36817313981169,83.68,70,100,3.8
389,novyye burasy,51.93022042430917,72.99,74,85,3.29
390,suva,-24.36862413420937,67.62,60,100,22.86
391,zlatna,46.046635631939864,72.23,68,19,4.54
392,floro,60.96897719495135,55.4,76,100,37.98
393,san marcos,8.572021586864878,93.65,52,92,3.13
394,saint-joseph,-24.043518276133753,72.03,77,70,6.71
395,muroto-misakicho,29.681666671639675,83.17,79,82,8.03
396,zahedan,29.610923612179107,83.66,26,7,5.55
397,ugoofaaru,5.8265764956422,81.36,79,90,12.88
398,bom jesus da lapa,-13.630870750697653,87.71,20,2,4.7
399,myskhako,43.40967638638449,77.02,58,0,4.16
400,ribeira brava,31.220532997301703,74.64,66,2,3.49
401,huadian,42.82615123274405,66.88,96,100,2.95
402,port macquarie,-31.424745147722696,63.64,66,52,14.5
403,tidjikja,18.800349533856902,104.09,16,47,3.11
404,holualoa,14.786598161182468,78.3,85,5,16.69
405,jumla,30.526624853992004,32.85,83,100,5.44
406,waynesboro,37.93472862898179,86.97,58,0,4.61
407,nchelenge,-8.078401033785838,72.79,32,5,4.43
408,'anat al qadimah,34.78604782624184,94.84,15,0,7.25
409,dalandzadgad,41.17529873000345,83.79,26,78,12.21
410,pavilosta,57.43855861855059,62.62,83,12,6.89
411,kavaratti,12.975777600951517,81.23,84,100,22.17
412,sola,-13.03158783154376,81.18,79,100,14.63
413,yuzhno-kurilsk,47.943268226460816,50.72,99,100,11.48
414,olyokminsk,58.774599287063694,61.81,91,0,1.7
415,bikenibeu village,4.277692309634276,83.44,78,100,13.65
416,margate,-37.4256956943838,62.67,80,52,18.23
417,saint-paul,-20.321313329750083,74.01,76,0,7.05
418,itai,-23.30235403401133,81.61,26,6,9.75
419,marsh harbour,29.36390563451731,84.18,69,100,3.87
420,birjand,31.437794478368104,95.86,10,0,11.83
421,pearsall,29.027213450825172,105.82,28,0,11.18
422,paita,-7.316639058404135,72.0,78,100,19.44
423,alamosa,37.30841905555566,89.47,17,0,4.61
424,nantucket,39.951315797026126,74.64,89,100,10.58
425,oltinko'l,42.91848813486857,89.83,30,63,17.13
426,kyzyl-mazhalyk,50.11822752803866,58.96,64,97,2.62
427,panaba,24.880610882857937,85.17,71,88,7.09
428,walvis bay,-24.375761485801974,60.69,63,0,21.74
429,fort william,57.444624004775505,58.96,92,98,3.27
430,beau vallon,-23.022393490844934,73.02,79,94,11.3
431,mariental,-23.904043627681176,65.44,20,4,11.52
432,serhetabat,35.44156646835302,82.4,13,0,4.65
433,aioun,18.26456888077827,105.19,20,29,3.4
434,akureyri,72.28591100575971,34.92,93,98,9.64
435,flying fish cove,-13.223490487715182,76.55,81,42,24.49
436,murun-kuren,51.02998543012302,41.76,85,97,2.39
437,cide,42.04774788332753,76.6,68,0,15.48
438,'ohonua,-25.536609714843536,67.66,63,100,16.28
439,lambton shores,43.622628688136416,81.75,72,0,3.69
440,paoua,7.301382564219452,72.01,91,75,4.97
441,caleta de carquin,-14.213206604172342,65.5,79,100,24.16
442,chernyshevskiy,63.94208619780969,61.29,91,97,11.3
443,lhasa,29.688855475294147,43.68,92,100,3.96
444,awash,9.466875119591492,83.44,51,47,16.96
445,errachidia,32.372608320165725,90.54,17,55,12.95
446,verdal,63.68717757682231,55.56,82,100,10.09
447,bathsheba,15.290030836274639,82.49,81,100,18.07
448,the pas,54.56341876546978,78.66,40,41,9.44
449,illizi,27.71347110659667,100.42,10,0,8.1
450,emerald,-23.870823404872283,59.23,72,11,15.52
451,tazovsky,66.77829206430641,62.33,71,85,9.84
452,broken hill,-30.084934541635924,50.07,56,0,8.55
453,salto,-31.504476634053063,56.62,88,100,10.45
454,nguigmi,16.02932499318625,98.08,28,100,5.03
455,summerside,46.90710635342299,70.07,80,0,14.7
456,port moresby,-12.012389349282756,77.18,73,98,19.95
457,olinda,-9.298022599555694,77.68,72,95,20.15
458,san antonio de pale,-7.634497801571001,71.65,78,100,14.99
459,severobaykal'sk,54.87258226140037,49.59,86,56,1.66
460,hadibu,14.414848163255499,78.08,85,57,31.25
461,port blair,8.524595207604946,82.63,81,100,19.13
462,kutum,16.314797678771697,89.55,13,54,5.06
463,douglas,-19.33721591823631,64.26,88,100,10.36
464,nar'yan-mar,76.97320360605673,39.63,88,24,12.46
465,qaisumah,27.585650714908596,99.09,8,93,6.22
466,weno,7.7212048445772865,78.8,78,100,15.23
467,devinuwara,-2.3362558426131272,82.96,79,100,20.13
468,tomatlan,17.867479915166626,83.19,69,0,4.05
469,pyapon,16.162249609484633,81.39,82,100,9.17
470,petauke,-14.346162931209406,70.16,32,0,12.1
471,kumeny,58.03487945408247,59.05,82,59,1.68
472,craig,40.62063055324185,88.52,17,38,11.86
473,debre mark'os,10.48516807760582,55.62,87,100,1.72
474,vilyuchinsk,47.28866444703263,52.0,99,100,5.53
475,bayanhongor,46.74902227002124,49.84,55,19,3.58
476,amahai,-3.529647851451756,73.96,90,99,4.83
477,peace river,59.178792468767966,65.07,89,100,10.83
478,barcelos,0.001944901469528304,93.56,41,84,1.39
479,horta,50.88433260064423,59.59,98,100,26.84
480,port douglas,-15.422976323468319,60.71,89,18,5.01
481,northam,-30.762249820320342,60.33,29,100,18.99
482,independencia,-5.6410546279392975,90.84,27,15,8.59
483,liuhe,42.2295941755834,66.2,96,100,4.41
484,ketchikan,49.1353436723451,58.35,83,100,6.51
485,kendari,-3.406464557564192,79.56,75,75,19.89
486,vila velha,-24.728847220564816,69.85,61,96,7.45
487,sant lluis,39.153939398491474,75.94,73,0,10.98
488,glenfield park,-35.01089531674754,38.12,90,6,3.67
489,balabac,10.316720179969238,82.65,84,100,21.92
490,remire-montjoly,9.838426703194145,83.17,74,87,12.21
491,luang prabang,19.768225788517157,70.0,97,73,1.41
492,berezovyy,52.59312712595954,65.14,99,100,1.19
493,coxen hole,16.513625412104574,87.8,75,6,12.93
494,concordia,39.578301056644165,98.89,16,24,16.62
495,sault ste. marie,46.92006984191204,62.51,72,48,2.13
496,letlhakeng,-24.02301292731019,60.57,58,57,16.11
497,hauterive,51.26920535307099,65.3,80,97,5.44
