City,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
,-15.804501253718655,76.21,70,8,1.66
,13.035064088924045,81.27,87,11,25.17
,58.64364711210098,47.14,100,100,6.71
Fort Hope,52.27342652075944,58.78,65,71,9.15
,24.492574520651075,82.76,76,7,6.38
,45.18816401873764,62.89,80,100,20.87
,4.2223382009848365,77.41,93,100,18.25
,7.620032659198529,81.07,76,13,9.57
Meget,52.45383130560111,65.19,78,100,5.35
,-22.877116099297268,67.73,66,0,9.89
,-67.10623793517311,-0.94,97,100,30.15
Sungurlare,42.8954539072451,92.19,20,0,15.5
,-46.25340494370081,50.38,82,100,30.13
,87.02721761984893,32.52,83,100,8.63
Tevaitoa,-17.368541956133257,76.69,73,100,14.29
,27.42041905757931,80.46,69,21,15.46
Catamarca Province,-26.465699723130214,51.53,11,1,4.03
Kaktovik,69.81106317557945,40.46,99,96,11.45
,61.23147593696649,53.4,89,16,11.5
,85.3100164718748,32.29,98,100,12.77
Poxoréo,-15.342091316700774,83.79,32,0,10.33
,-15.861340309022793,72.03,78,88,25.21
Teya,60.42063980159236,63.59,89,100,3.69
,-30.43351031948484,67.75,86,0,12.28
,-25.08624533785253,59.47,79,98,21.47
Juxing,31.97270165673072,79.11,92,100,7.43
Walton,38.92475374897876,76.69,82,40,1.99
,20.915534963681566,82.72,75,52,9.15
Wiluna,-25.494109970771305,51.84,35,0,11.21
,-19.441093213288056,74.21,73,45,19.26
,2.9267708784312276,78.33,77,86,13.0
,56.28304590672505,50.56,72,9,2.89
Dianyang,24.87193428583774,59.2,94,9,0.94
Ust'-Karsk,52.407369366392004,61.05,74,100,1.54
Red Sea,19.44072100424546,107.6,6,21,16.96
,12.829076987076846,81.32,83,31,19.86
,88.52292395221994,32.32,98,100,8.66
Novoagansk,61.90978192477641,73.18,53,100,3.27
,-64.75679492192529,20.82,96,100,6.98
,2.3153273183281016,79.9,78,40,16.96
Segong,31.861007497541706,39.47,96,100,4.52
,-30.751569938274933,61.74,66,7,18.1
,85.87736528731247,32.32,91,100,8.41
Tierra del Fuego Province,-54.27995596874039,36.05,68,100,22.06
Central African Republic,7.095670024653074,88.05,51,98,2.64
Kikwit,-5.988603175644073,94.91,16,14,9.53
,15.669455367005838,81.39,79,94,1.86
,-26.478118190305885,66.0,55,0,12.91
Hawaiian Ocean View,17.827122312775217,78.48,80,62,18.61
,-26.549642871253077,69.37,77,10,13.53
West Papua,-2.1212790973857665,79.16,80,62,9.33
Noril'sk,69.46256850765334,63.68,75,14,10.47
,9.251076352987909,83.28,77,11,7.74
,-49.97432327068937,33.8,69,100,23.31
Buryatskiye Postroyki,55.147884512465765,51.19,66,55,4.09
,26.783128516219392,84.47,75,80,9.98
Nakamura,31.702043862461537,82.87,76,5,8.39
Bahir Dar,11.527019129981312,72.66,73,100,10.07
,52.013949820011646,58.96,87,68,13.04
,87.12448267392008,32.86,97,100,8.86
,3.3561449674129165,83.97,76,10,12.75
Troy,46.94668145513734,69.21,41,0,2.24
Hancheng,32.37500851291904,84.0,78,41,8.63
,-12.561770168689762,76.71,49,100,25.59
,73.29993049586304,45.57,82,100,17.49
,-25.413202455394654,61.75,71,100,12.17
,24.646482898521356,85.42,72,33,12.91
Tobruk,31.7119307768415,97.36,26,0,19.17
,11.343871572990764,84.52,76,100,15.95
Port Klang,2.7044943204560354,85.75,72,100,6.33
Aqqan,37.214048222132575,95.54,16,100,12.97
,30.831083107941268,73.17,71,2,17.43
Toumboudrané,15.871632700159381,96.66,34,6,4.83
Balsas,-7.530672616365976,88.23,31,2,12.84
